av_id;area_pq_m2;veg13;veg9;veg2;veg3;veg5;veg1;av_id.N.10.0;riqueza;area_veg;shannon;n_classes;cob_vegetacao;areapa_scale;cob_scale;area_pq_km2
1;136493,0835;95770,30599;0;0;0;0;0;1;128;95770,30599;0;1;70,16495161;0,080882056;0,992957776;136,4930835
2;6656,3014;56201,66009;0;0;0;0;0;2;29;56201,66009;0;1;100;-0,464124998;1,570796327;6,6563014
3;131517,3524;4889,71919;125832,1433;0;0;0;0;3;107;130721,8625;0,159609224;2;99,39514451;0,059995767;1,492945255;131,5173524
4;44000,38324;30339,50512;3478,24719;0;0;0;0;4;80;33817,75231;0,331306166;2;76,85785855;-0,307368279;1,068929728;44,00038324
5;23669,19173;4135,02093;17057,61044;0;0;0;0;0;26;21192,63137;0,493556723;2;89,5367768;-0,392711143;1,24140297;23,66919173
7;1202665,84;377192,7695;132027,4061;3498,31086;11305,34096;39719,82996;0;7;225;563743,6574;0,905667963;5;46,87450485;4,556283122;0,754122821;1202,66584
9;6106,73795;6455,47365;0;0;0;0;0;9;30;6455,47365;0;1;100;-0,466431864;1,570796327;6,10673795
11;24513,15264;14981,2048;0;0;0;0;0;11;30;14981,2048;0;1;61,11496559;-0,389168505;0,897484243;24,51315264
12;185229,455;0;0;0;0;0;0;12;120;0;0;0;0;0,285459417;0;185,229455
13;20608,47237;5273,08759;0;0;0;0;0;13;1;5273,08759;0;1;25,58698915;-0,405558917;0,530350628;20,60847237
14;20745,66988;19776,715;0;0;0;0;0;14;50;19776,715;0;1;95,32936326;-0,404983012;1,352961056;20,74566988
15;46341,98694;168617,7947;0;0;0;0;0;15;126;168617,7947;0;1;100;-0,297539088;1,570796327;46,34198694
16;17079,76859;14313,70688;0;0;0;0;0;16;15;14313,70688;0;1;83,80503989;-0,420371117;1,156627007;17,07976859
17;73390,37891;13953,83669;0;0;0;0;0;17;44;13953,83669;0;1;19,01316889;-0,183999887;0,451194631;73,39037891
18;1476997,686;295296,9977;146903,6498;127332,6596;28531,49908;0;0;18;198;598064,8062;1,167800642;4;40,49192573;5,707827308;0,689734848;1476,997686
20;123361,8807;68977,10659;0;0;0;0;0;20;97;68977,10659;0;1;55,91444147;0,025762096;0,844681381;123,3618807
21;23064,77063;21581,72435;0;0;0;0;0;21;34;21581,72435;0;1;93,57008009;-0,39524828;1,314424262;23,06477063
22;270071,0363;95712,6228;0;0;0;0;0;22;65;95712,6228;0;1;35,43979544;0,641593168;0,637655545;270,0710363
23;40064,05607;36727,73081;0;0;0;0;0;23;30;36727,73081;0;1;91,67252249;-0,323891533;1,278059508;40,06405607
24;145738,8156;79256,35989;0;0;0;0;0;24;108;79256,35989;0;1;54,38246468;0,119692238;0,829279118;145,7388156
25;61790,0876;58058,98395;0;0;0;0;0;25;31;58058,98395;0;1;93,96164693;-0,232693644;1,32252299;61,7900876
26;6602,8327;8694,54288;0;0;0;0;0;26;13;8694,54288;0;1;100;-0,46434944;1,570796327;6,6028327
27;120891,379;46732,7758;0;0;0;3379,18112;0;27;125;50111,95692;0,246946754;2;41,45205171;0,015391839;0,699496723;120,891379
28;180175,732;34555,54031;0;120599,5788;8975,97035;0;0;28;32;164131,0895;0,713415359;3;91,09500356;0,264245747;1,267767488;180,175732
29;48077,35688;4116,04234;43012,48818;0;0;0;0;29;157;47128,53052;0,296331827;2;98,02645898;-0,290254643;1,429847318;48,07735688
30;118530,6183;2684,1586;0;60,25825;0;0;0;30;67;2744,41685;0,105559423;2;2,315365337;0,005482234;0,152756639;118,5306183
31;20878,66119;30136,49879;0;0;0;0;0;31;40;30136,49879;0;1;100;-0,404424763;1,570796327;20,87866119
32;95442,08325;11919,83982;0;0;0;0;0;32;25;11919,83982;0;1;12,48908177;-0,091434944;0,361202025;95,44208325
34;49666,47343;175,96658;0;0;0;0;0;34;55;175,96658;0;1;0,354296506;-0,283584116;0,059558015;49,66647343
35;763,74207;15052,58537;0;0;0;0;0;35;28;15052,58537;0;1;100;-0,488859795;1,570796327;0,76374207
36;5557,4274;4241,72204;0;0;0;0;0;36;21;4241,72204;0;1;76,32528029;-0,468737667;1,062640707;5,5574274
37;17616,19885;17191,972;0;0;0;0;0;37;40;17191,972;0;1;97,59183662;-0,41811938;1,414984055;17,61619885
38;11703,18743;26187,16867;0;0;0;0;0;38;36;26187,16867;0;1;100;-0,442940027;1,570796327;11,70318743
40;267311,97;2452,89156;0;71996,6354;64055,20949;0;0;40;26;138504,7365;0,768184301;3;51,81389237;0,630011623;0,803541068;267,31197
41;27446,71824;48190,47726;0;0;0;0;0;41;39;48190,47726;0;1;100;-0,376854476;1,570796327;27,44671824
42;141502,8727;121836,8195;13756,78063;0;0;0;0;42;102;135593,6001;0,328270346;2;95,82392042;0,101911308;1,364991995;141,5028727
43;21089,69695;153,43314;0;0;0;0;0;43;31;153,43314;0;1;0,727526528;-0,403538913;0,08539893;21,08969695
44;1241857,366;840246,3346;0;0;0;0;0;44;263;840246,3346;0;1;67,66045424;4,720794733;0,965897699;1241,857366
45;90847,21317;84673,9655;0;0;0;0;0;45;97;84673,9655;0;1;93,20480238;-0,110722518;1,307073983;90,84721317
46;381,42663;8658,31411;0;0;0;0;0;46;13;8658,31411;0;1;100;-0,490464615;1,570796327;0,38142663
48;34894,02516;28222,00438;0;0;0;0;0;48;54;28222,00438;0;1;80,87918849;-0,345593421;1,1182316;34,89402516
49;87419,95173;45619,68942;11527,92267;0;41433,91082;0;0;49;61;98581,52291;0,971850143;3;100;-0,125108901;1,570796327;87,41995173
50;76885,62347;69349,73009;0;0;0;0;0;50;89;69349,73009;0;1;90,19856634;-0,169328136;1,25236997;76,88562347
52;26400,32983;22613,59436;0;0;0;0;0;52;50;22613,59436;0;1;85,65648424;-0,381246829;1,182374427;26,40032983
53;75448,33952;9072,95958;65096,40069;0;0;0;0;53;73;74169,36027;0,371537055;2;98,30482784;-0,175361326;1,440226866;75,44833952
54;21673,57392;52280,08767;0;0;0;0;0;54;47;52280,08767;0;1;100;-0,401088012;1,570796327;21,67357392
55;48417,58376;4713,05813;0;0;0;0;0;55;24;4713,05813;0;1;9,734186971;-0,288826496;0,317293795;48,41758376
56;15141,43935;12971,0366;0;0;0;0;0;56;12;12971,0366;0;1;85,66580957;-0,42850751;1,182507468;15,14143935
57;14168,31797;13763,89782;0;0;0;0;0;57;34;13763,89782;0;1;97,14560225;-0,432592316;1,401032445;14,16831797
58;69154,57512;57348,79902;0;0;0;0;0;58;48;57348,79902;0;1;82,92842364;-0,201780234;1,144855596;69,15457512
59;15564,42471;13737,98326;0;0;0;0;0;59;47;13737,98326;0;1;88,26528134;-0,426731973;1,221156172;15,56442471
60;21101,60723;16753,18844;0;0;0;0;0;60;24;16753,18844;0;1;79,39294982;-0,403488918;1,099603007;21,10160723
61;26105,47224;28089,18346;0;0;0;0;0;61;60;28089,18346;0;1;100;-0,382484533;1,570796327;26,10547224
63;191885,3485;41091,58183;0;0;0;0;0;63;59;41091,58183;0;1;21,41465315;0,31339841;0,481105754;191,8853485
64;15289,22217;11742,83937;0;0;0;0;0;64;13;11742,83937;0;1;76,8046879;-0,427887172;1,06829961;15,28922217
65;15303,98212;0;15299,3849;0;0;0;0;65;26;15299,3849;0;1;99,96996063;-0,427825216;1,553463589;15,30398212
66;30465,65781;29214,82446;0;0;0;0;0;66;27;29214,82446;0;1;95,89428412;-0,364182078;1,366757865;30,46565781
67;9411,99703;1567,32785;0;0;0;0;0;67;56;1567,32785;0;1;16,65244735;-0,452557602;0,420343531;9,41199703
68;110164,7381;39,90979;0;8808,33202;0;0;1751,16622;68;129;10599,40803;0,472309359;3;9,621416263;-0,029634654;0,315386655;110,1647381
70;276225,9838;26156,39295;0;0;0;0;0;70;274;26156,39295;0;1;9,469200756;0,667429374;0,312796525;276,2259838
71;66860,61946;66594,79168;0;0;0;0;0;71;37;66594,79168;0;1;99,60241502;-0,211409416;1,507700129;66,86061946
73;303953,8969;267209,8034;0;0;0;0;0;73;61;267209,8034;0;1;87,91129382;0,783820954;1,215692019;303,9538969
74;98279,13204;93223,93071;0;0;0;0;0;74;108;93223,93071;0;1;94,85628208;-0,079526056;1,342007928;98,27913204
75;110111,3564;47787,39563;0;0;0;0;0;75;54;47787,39563;0;1;43,39915264;-0,029858731;0,719196432;110,1113564
76;47727,6388;7244,91868;0;0;0;0;0;76;124;7244,91868;0;1;15,17971319;-0,291722631;0,400209737;47,7276388
77;5377,48554;4890,76059;0;0;0;0;0;77;18;4890,76059;0;1;90,94883759;-0,469492997;1,265210934;5,37748554
78;89511,94167;3845,51344;78477,85369;0;0;0;0;78;81;82323,36713;0,188718575;2;91,96914467;-0,116327497;1,283471603;89,51194167
79;80266,30542;52066,43553;0;0;0;0;0;79;39;52066,43553;0;1;64,86711361;-0,155137277;0,93635207;80,26630542
80;29382,43801;29110,5338;0;0;0;0;0;80;28;29110,5338;0;1;99,07460297;-0,368729036;1,474449778;29,38243801
81;177082,9843;65931,55737;66310,28824;0;0;0;0;81;75;132241,8456;0,69314308;2;74,6778953;0,251263529;1,043486125;177,0829843
82;33170,47058;18739,02514;0;0;0;0;0;82;39;18739,02514;0;1;56,49309405;-0,352828269;0,850513003;33,17047058
83;117629,6916;7577,27908;0;53709,30777;46169,18325;0;0;83;108;107455,7701;0,896588412;3;91,35088994;0,001700475;1,272289187;117,6296916
84;24781,72143;178,81087;0;0;0;0;0;84;17;178,81087;0;1;0,721543378;-0,388041152;0,085046194;24,78172143
85;31001,21363;3977,37873;0;0;0;0;0;85;42;3977,37873;0;1;12,82975169;-0,361934012;0,366324714;31,00121363
86;54405,61903;2718,08375;0;0;0;0;0;86;19;2718,08375;0;1;4,995961444;-0,263690926;0,225420737;54,40561903
87;36833,33277;28358,81519;0;0;0;0;0;87;25;28358,81519;0;1;76,99225961;-0,337452921;1,070524758;36,83333277
88;25401,03557;20710,36495;0;0;0;0;0;88;16;20710,36495;0;1;81,53354572;-0,385441499;1,12660688;25,40103557
89;135803,726;4141,93418;124749,0938;0;0;0;0;89;77;128891,028;0,142087613;2;94,90978767;0,077988386;1,343222071;135,803726
90;76280,22821;1193,72868;65578,90019;0;0;0;0;90;35;66772,62887;0,089659653;2;87,53595845;-0,171869363;1,209973179;76,28022821
91;31390,91746;13940,63376;0;0;0;0;0;91;83;13940,63376;0;1;44,40976846;-0,360298178;0,729378722;31,39091746
93;272376,9302;2868,51921;0;0;0;0;0;93;20;2868,51921;0;1;1,053143233;0,651272463;0,102803754;272,3769302
95;23722,85935;22011,25334;0;0;0;0;0;95;32;22011,25334;0;1;92,7849928;-0,392485866;1,298849054;23,72285935
96;2592,53975;21596,38861;0;0;0;0;0;96;25;21596,38861;0;1;100;-0,481183175;1,570796327;2,59253975
98;20728,50351;38275,37101;0;0;0;0;0;98;82;38275,37101;0;1;100;-0,40505507;1,570796327;20,72850351
99;50223,08789;30576,51778;0;0;0;0;0;99;91;30576,51778;0;1;60,88139751;-0,281247654;0,895089918;50,22308789
101;38843,50609;31267,44163;0;0;0;0;0;101;60;31267,44163;0;1;80,49593041;-0,329014952;1,113377103;38,84350609
102;18733,26475;198,29895;36264,99425;0;0;0;0;102;87;36463,2932;0,033780441;2;100;-0,413430349;1,570796327;18,73326475
103;134844,6908;156438,9308;0;0;0;0;0;103;54;156438,9308;0;1;100;0,07396271;1,570796327;134,8446908
104;88590,8798;27113,43881;0;0;0;0;0;104;76;27113,43881;0;1;30,60522581;-0,120193776;0,586224562;88,5908798
105;627568,0322;46005,76217;173861,7552;0;127154,5528;0;0;105;46;347022,0701;0,982018889;3;55,29632682;2,142234061;0,83846098;627,5680322
106;106442,4856;17394,03313;82540,35905;0;0;0;0;106;73;99934,39218;0,462257288;2;93,88581223;-0,045259301;1,320935782;106,4424856
107;6476,54386;0;0;0;0;0;0;107;10;0;0;0;0;-0,464879554;0;6,47654386
115;63642,3684;29218,47329;192519,7299;672975,9236;290582,9186;0;0;115;199;1185297,045;1,052527936;4;100;-0,22491845;1,570796327;63,6423684
116;804467,249;186878,8555;28493,32772;1898733,307;1467849,298;0;0;116;156;3581954,788;0,894561464;4;100;2,884791906;1,570796327;804,467249
117;21053,30138;235379,9416;273107,2462;2635984,251;443422,7986;14744,95862;63419,55385;117;160;3666058,75;0,954796668;6;100;-0,403691688;1,570796327;21,05330138
118;17760,35868;238957,8601;47344,67498;2020092,031;389678,7737;80080,79295;219837,4886;118;159;2995991,621;1,086765994;6;100;-0,41751425;1,570796327;17,76035868
119;24852,55778;0;24379,69975;0;0;0;0;119;13;24379,69975;0;1;98,09734662;-0,387743807;1,432418427;24,85255778
120;510125,1107;1230,76652;173910,8645;0;240296,8398;0;0;120;249;415438,4708;0,69843813;3;81,43854559;1,649251875;1,125383945;510,1251107
121;27375,55842;165305,3925;2577,33592;1378180,567;624510,4974;329,15756;301936,2996;121;185;2472839,25;1,119318331;6;100;-0,377153179;1,570796327;27,37555842
215;18109,82479;14803,4906;0;0;0;0;0;215;15;14803,4906;0;1;81,74287036;-0,41604732;1,129310139;18,10982479
